AL_Type;AR_No;CustID;Layanan;CreatedOn
Upgrade;AR/UPG/1901/0948;140000424;InternetCorporate;31/01/2019 14.57
New;AR/ACT/1902/4682;140000424;i-WINIndoor;14/02/2019 09.45
Upgrade;AR/UPG/1901/0953;140000424;InternetCorporate;31/01/2019 15.01
Relokasi;AR/RLK/1804/0185;140000424;InternetCorporate;02/04/2018 16.41
New;AR/ACT/1902/4696;140000424;i-WINIndoor;14/02/2019 10.01
Upgrade;AR/UPG/1901/0947;140000424;InternetCorporate;31/01/2019 14.55
Upgrade;AR/UPG/1907/2428;170000252;Metronet;16/07/2019 13.22
New;AR/ACT/1902/3661;170000252;Metronet;02/02/2019 11.58
Upgrade;AR/UPG/1901/0952;140000424;InternetCorporate;31/01/2019 15.00
New;AR/ACT/1902/4702;140000424;i-WINIndoor;14/02/2019 10.04
Upgrade;AR/UPG/1901/0949;140000424;InternetCorporate;31/01/2019 14.58
New;AR/ACT/1902/4698;140000424;i-WINIndoor;14/02/2019 10.02
New;AR/ACT/1902/4692;140000424;i-WINIndoor;14/02/2019 09.58
Upgrade;AR/UPG/1901/0944;140000424;InternetCorporate;31/01/2019 14.43
Upgrade;AR/UPG/1901/0940;140000424;InternetCorporate;31/01/2019 14.34
New;AR/ACT/1902/4683;140000424;i-WINIndoor;14/02/2019 09.46
New;AR/ACT/1908/24907;20000693;Metronet;02/08/2019 16.59
New;AR/ACT/1909/30848;90000298;IPTransit;04/09/2019 15.00
New;AR/ACT/1907/21796;90000298;Platinum;18/07/2019 20.58
New;AR/ACT/1909/32081;90000298;Lain-lain;15/09/2019 18.26
New;AR/ACT/1812/24010;90000298;InternetCorporate;10/12/2018 16.34
New;AR/ACT/1908/28284;90000470;InternetCorporate;19/08/2019 14.50
New;AR/ACT/1909/30343;60001551;InternetCorporate;02/09/2019 12.34
New;AR/ACT/1909/30344;60001551;PenambahanIPv4Publik;02/09/2019 12.35
Upgrade;AR/UPG/1901/0955;140000424;InternetCorporate;31/01/2019 16.14
Upgrade;AR/CHT/1910/6221;140000424;InternetCorporate;08/10/2019 10.34
New;AR/ACT/1908/25769;60001477;InternetCorporate;08/08/2019 11.10
Downgrade;AR/DOW/1908/0376;90000426;InternetCorporate;12/08/2019 09.28
New;AR/ACT/1909/32104;90000298;Lain-lain;16/09/2019 10.17
New;AR/ACT/1905/15161;140001746;InternetBroadbandCorporate;14/05/2019 12.22
New;AR/ACT/1907/23007;140001746;i-WINOutdoor;24/07/2019 08.55
Relokasi;AR/RLK/1909/0805;140001897;InternetCorporate;09/09/2019 15.36
Relokasi;AR/RLK/1909/0807;140001897;IPVPN;09/09/2019 16.08
Relokasi;AR/RLK/1909/0806;140001897;IPVPN;09/09/2019 15.56
Upgrade;AR/CHT/1910/6290;140000783;InternetCorporate;10/10/2019 13.21
Upgrade;AR/CHT/1910/6291;90000298;Lain-lain;10/10/2019 14.31
Upgrade;AR/CHT/1910/6292;90000298;Lain-lain;10/10/2019 14.49
Upgrade;AR/CHT/1910/6293;90000298;Lain-lain;10/10/2019 15.21
Upgrade;AR/CHT/1910/6294;90000298;Lain-lain;10/10/2019 15.36
Upgrade;AR/CHT/1910/6295;90000298;Lain-lain;10/10/2019 15.44
Upgrade;AR/CHT/1910/6296;90000298;Lain-lain;10/10/2019 16.17
Upgrade;AR/CHT/1910/6328;90000298;Lain-lain;11/10/2019 09.19
Upgrade;AR/CHT/1910/6329;90000298;Lain-lain;11/10/2019 09.35
Upgrade;AR/CHT/1910/6330;90000298;Lain-lain;11/10/2019 09.48
Upgrade;AR/CHT/1910/6331;90000298;Lain-lain;11/10/2019 10.30
Upgrade;AR/CHT/1910/6332;90000298;Lain-lain;11/10/2019 10.50
Upgrade;AR/CHT/1910/6333;90000298;Lain-lain;11/10/2019 11.08
Upgrade;AR/CHT/1910/6334;90000298;Lain-lain;11/10/2019 11.21
Upgrade;AR/CHT/1910/6335;90000298;Lain-lain;11/10/2019 12.21
Upgrade;AR/CHT/1910/6336;90000298;Lain-lain;11/10/2019 13.14
Upgrade;AR/CHT/1910/6337;90000298;Lain-lain;11/10/2019 13.49
Upgrade;AR/CHT/1910/6338;90000298;Lain-lain;11/10/2019 14.10
Upgrade;AR/CHT/1910/6339;90000298;Lain-lain;11/10/2019 14.36
Upgrade;AR/CHT/1910/6341;90000298;Lain-lain;11/10/2019 15.08
Upgrade;AR/CHT/1910/6343;90000298;Lain-lain;11/10/2019 15.42
Upgrade;AR/CHT/1910/6346;90000298;Lain-lain;11/10/2019 16.19
Downgrade;AR/CHT/1910/6349;90000298;Bronze;11/10/2019 17.22
Downgrade;AR/CHT/1910/6350;90000298;i-WINIndoor;11/10/2019 17.44
Downgrade;AR/CHT/1910/6351;90000298;i-WINIndoor;11/10/2019 17.49
Downgrade;AR/CHT/1910/6352;90000298;i-WINIndoor;11/10/2019 18.05
Downgrade;AR/CHT/1910/6353;90000298;i-WINIndoor;12/10/2019 15.20
Downgrade;AR/CHT/1910/6354;90000298;i-WINIndoor;12/10/2019 15.28
Downgrade;AR/CHT/1910/6355;90000298;i-WINIndoor;12/10/2019 15.38
Downgrade;AR/CHT/1910/6356;90000298;i-WINIndoor;12/10/2019 15.56
Downgrade;AR/CHT/1910/6358;90000298;i-WINIndoor;12/10/2019 16.16
Downgrade;AR/CHT/1910/6361;90000298;PenambahanIPv4Publik;12/10/2019 16.44
Downgrade;AR/CHT/1910/6362;90000298;PenambahanIPv4Publik;12/10/2019 17.24
Upgrade;AR/CHT/1910/6363;90000298;IPTransit;13/10/2019 16.40
Upgrade;AR/CHT/1910/6364;90000298;InternetCorporate;13/10/2019 17.21
Upgrade;AR/UPG/1907/2493;50000460;InternetCorporate;25/07/2019 15.52
Upgrade;AR/UPG/1909/2882;50001981;InternetCorporate;10/09/2019 14.51
New;AR/ACT/1910/37431;80000114;Metronet;14/10/2019 11.03
New;AR/ACT/1910/37435;60001431;InternetCorporate;14/10/2019 12.36
New;AR/ACT/1910/37395;90000298;InternetCorporate;13/10/2019 16.13
New;AR/ACT/1910/37394;90000298;InternetCorporate;13/10/2019 15.43
New;AR/ACT/1907/19584;140001218;InternetCorporate;03/07/2019 16.50
New;AR/ACT/1907/19585;140001218;InternetCorporate;03/07/2019 16.51
New;AR/ACT/1908/28154;50002045;InternetCorporate;19/08/2019 09.27
Upgrade;AR/UPG/1909/2980;90000414;InternetCorporate;23/09/2019 17.17
New;AR/ACT/1905/14480;170000252;Metronet;11/05/2019 11.51
Downgrade;AR/CHT/1910/6373;180000053;Lain-lain;15/10/2019 14.32
Downgrade;AR/CHT/1910/6374;180000053;Lain-lain;15/10/2019 16.14
Downgrade;AR/CHT/1910/6375;180000053;Lain-lain;15/10/2019 16.17
Downgrade;AR/CHT/1910/6376;180000053;Lain-lain;15/10/2019 16.20
Downgrade;AR/CHT/1910/6377;180000053;Lain-lain;15/10/2019 16.37
Downgrade;AR/CHT/1910/6378;180000053;Lain-lain;15/10/2019 16.39
Downgrade;AR/CHT/1910/6379;180000053;Lain-lain;15/10/2019 16.42
Downgrade;AR/CHT/1910/6380;180000053;Lain-lain;15/10/2019 16.44
Downgrade;AR/CHT/1910/6381;180000053;Lain-lain;15/10/2019 16.46
Downgrade;AR/CHT/1910/6382;180000053;Lain-lain;15/10/2019 16.47
Downgrade;AR/CHT/1910/6383;180000053;Lain-lain;15/10/2019 16.49
Downgrade;AR/CHT/1910/6384;180000053;Lain-lain;15/10/2019 16.52
Downgrade;AR/CHT/1910/6385;180000053;Lain-lain;15/10/2019 16.54
Downgrade;AR/CHT/1910/6386;180000053;Lain-lain;15/10/2019 16.56
Downgrade;AR/CHT/1910/6387;180000053;Lain-lain;15/10/2019 16.58
Downgrade;AR/CHT/1910/6388;180000053;Lain-lain;15/10/2019 17.06
Downgrade;AR/CHT/1910/6389;180000053;Lain-lain;15/10/2019 17.08
Downgrade;AR/CHT/1910/6390;180000053;Lain-lain;16/10/2019 08.10
Downgrade;AR/CHT/1910/6391;180000053;Lain-lain;16/10/2019 08.13
Downgrade;AR/CHT/1910/6392;180000053;Lain-lain;16/10/2019 08.17
New;AR/ACT/1909/31407;ICON-00;i-SEEProjectBase;10/09/2019 19.38
New;AR/ACT/1909/31406;ICON-00;i-WINOutdoor;10/09/2019 19.37
New;AR/ACT/1909/31405;ICON-00;i-WINIndoor;10/09/2019 19.36
New;AR/ACT/1908/30045;ICON-00;InternetCorporate;29/08/2019 10.29
New;AR/ACT/1908/30047;ICON-00;i-WINOutdoor;29/08/2019 10.30
New;AR/ACT/1909/31404;ICON-00;i-WINIndoor;10/09/2019 19.35
New;AR/ACT/1909/31403;ICON-00;i-WINIndoor;10/09/2019 19.35
New;AR/ACT/1909/31328;ICON-00;IPVPN;10/09/2019 13.32
New;AR/ACT/1909/31327;ICON-00;i-SEEProjectBase;10/09/2019 13.31
New;AR/ACT/1909/31326;ICON-00;i-SEEProjectBase;10/09/2019 13.30
New;AR/ACT/1909/31325;ICON-00;i-SEEProjectBase;10/09/2019 13.29
New;AR/ACT/1909/31324;ICON-00;i-SEEProjectBase;10/09/2019 13.29
New;AR/ACT/1909/31323;ICON-00;i-WINOutdoor;10/09/2019 13.28
New;AR/ACT/1909/31322;ICON-00;i-WINOutdoor;10/09/2019 13.27
New;AR/ACT/1909/31321;ICON-00;i-WINOutdoor;10/09/2019 13.26
New;AR/ACT/1909/31320;ICON-00;i-WINIndoor;10/09/2019 13.25
New;AR/ACT/1909/31319;ICON-00;i-WINIndoor;10/09/2019 13.25
New;AR/ACT/1909/31318;ICON-00;i-WINIndoor;10/09/2019 13.24
New;AR/ACT/1909/31317;ICON-00;i-WINIndoor;10/09/2019 13.23
New;AR/ACT/1909/31316;ICON-00;i-WINIndoor;10/09/2019 13.23
New;AR/ACT/1909/31315;ICON-00;i-WINIndoor;10/09/2019 13.19
New;AR/ACT/1908/28970;90000472;InternetBroadbandCorporate;22/08/2019 11.44
New;AR/ACT/1910/36843;ICON-00;InternetCorporate;11/10/2019 09.06
New;AR/ACT/1910/36842;ICON-00;i-WINIndoor;11/10/2019 09.05
New;AR/ACT/1910/36841;ICON-00;i-WINIndoor;11/10/2019 09.04
New;AR/ACT/1902/5498;50000796;InternetCorporate;20/02/2019 14.55
Upgrade;AR/UPG/1909/3035;50001491;InternetCorporate;27/09/2019 14.36
New;AR/ACT/1907/19906;40000276;IPVPN;05/07/2019 09.36
Upgrade;AR/UPG/1909/2790;60001275;InternetCorporate;03/09/2019 11.10
New;AR/ACT/1907/20571;140001966;InternetCorporate;10/07/2019 11.36
New;AR/ACT/1909/30693;140001966;InternetBroadbandCorporate;04/09/2019 09.00
New;AR/ACT/1909/30755;140001966;InternetCorporate;04/09/2019 10.02
New;AR/ACT/1909/31563;60001559;InternetCorporate;12/09/2019 10.35
New;AR/ACT/1908/29317;90000471;InternetBroadbandCorporate;26/08/2019 10.23
New;AR/ACT/1908/29316;90000471;InternetCorporate;26/08/2019 10.23
Upgrade;AR/UPG/1910/3084;20000693;Metronet;04/10/2019 17.14
New;AR/ACT/1905/15229;60001458;InternetCorporate;15/05/2019 12.50
New;AR/ACT/1905/15228;60001458;InternetCorporate;15/05/2019 12.50
New;AR/ACT/1905/15227;60001458;InternetCorporate;15/05/2019 12.50
New;AR/ACT/1908/28336;120000232;InternetCorporate;19/08/2019 17.43
New;AR/CHT/1910/6850;140000424;InternetCorporate;31/10/2019 09.55
New;AR/ACT/1909/33248;60001501;InternetBroadbandCorporate;26/09/2019 09.35
Downgrade;AR/CHT/1910/6864;60001501;InternetBroadbandCorporate;31/10/2019 11.42
New;AR/ACT/1910/34473;60001422;InternetBroadbandCorporate;04/10/2019 17.51
New;AR/ACT/1910/34472;60001422;InternetBroadbandCorporate;04/10/2019 17.50
New;AR/ACT/1910/34471;60001422;InternetBroadbandCorporate;04/10/2019 17.49
Upgrade;AR/CHT/1910/6871;140000424;InternetCorporate;31/10/2019 15.35
Upgrade;AR/CHT/1910/6872;140000424;InternetCorporate;31/10/2019 15.38
Upgrade;AR/CHT/1910/6873;140000424;InternetCorporate;31/10/2019 15.40
Upgrade;AR/CHT/1910/6874;140000424;InternetCorporate;31/10/2019 15.43
Upgrade;AR/CHT/1910/6875;140000424;InternetCorporate;31/10/2019 15.45
Upgrade;AR/CHT/1910/6876;140000424;InternetCorporate;31/10/2019 15.48
Upgrade;AR/CHT/1910/6877;140000424;InternetCorporate;31/10/2019 15.51
Upgrade;AR/CHT/1910/6878;140000424;InternetCorporate;31/10/2019 15.54
Upgrade;AR/CHT/1910/6879;140000424;InternetCorporate;31/10/2019 15.56
Upgrade;AR/CHT/1910/6880;140000424;InternetCorporate;31/10/2019 15.59
Upgrade;AR/CHT/1910/6881;140000424;InternetCorporate;31/10/2019 16.01
Relokasi;AR/RLK/1901/0003;40000276;IPVPN;03/01/2019 18.49
Upgrade;AR/CHT/1910/6882;140000424;InternetCorporate;31/10/2019 16.03
Upgrade;AR/CHT/1910/6883;140000424;InternetCorporate;31/10/2019 16.07
Upgrade;AR/CHT/1910/6884;140000424;InternetCorporate;31/10/2019 16.09
Upgrade;AR/CHT/1910/6887;140000424;InternetCorporate;31/10/2019 16.12
Upgrade;AR/CHT/1910/6888;140000424;InternetCorporate;31/10/2019 16.14
Upgrade;AR/CHT/1910/6889;140000424;InternetCorporate;31/10/2019 16.17
Upgrade;AR/CHT/1910/6890;140000424;InternetCorporate;31/10/2019 16.19
New;AR/CHT/1910/6892;140000424;InternetCorporate;01/11/2019 03.31
New;AR/ACT/1908/28971;90000472;i-WINOutdoor;22/08/2019 11.44
Upgrade;AR/UPG/1910/3207;30000123;Metronet;18/10/2019 09.54
New;AR/ACT/1904/12936;90000446;InternetCorporate;30/04/2019 11.41
New;AR/ACT/1909/32220;90000403;InternetBroadbandCorporate;17/09/2019 09.10
New;AR/ACT/1906/16809;90000461;InternetCorporate;12/06/2019 15.33
New;AR/ACT/1908/25504;90000461;PenambahanIPv4Publik;07/08/2019 10.34
New;AR/ACT/1908/25509;90000458;PenambahanIPv4Publik;07/08/2019 10.36
New;AR/ACT/1905/15627;90000458;InternetCorporate;22/05/2019 08.23
New;AR/ACT/1908/27117;30000307;Metronet;14/08/2019 14.15
New;AR/ACT/1908/27119;30000307;Metronet;14/08/2019 14.16
New;AR/ACT/1908/27121;30000307;Metronet;14/08/2019 14.17
New;AR/ACT/1908/27124;30000307;Metronet;14/08/2019 14.19
New;AR/ACT/1908/27126;30000307;Metronet;14/08/2019 14.20
New;AR/ACT/1908/27130;30000307;Metronet;14/08/2019 14.21
New;AR/ACT/1908/27134;30000307;Metronet;14/08/2019 14.22
New;AR/ACT/1908/27122;30000307;Metronet;14/08/2019 14.18
Upgrade on Demand;AR/UOD/1910/0138;140001897;InternetCorporate;21/10/2019 12.55
Upgrade on Demand;AR/UOD/1910/0137;140001897;Metronet;21/10/2019 12.48
Upgrade on Demand;AR/UOD/1910/0136;140001897;Metronet;21/10/2019 12.32
New;AR/ACT/1905/14476;60001338;InternetCorporate;10/05/2019 16.04
New;AR/ACT/1906/18861;60001338;InternetCorporate;28/06/2019 10.28
New;AR/ACT/1908/27137;30000307;Metronet;14/08/2019 14.25
New;AR/ACT/1910/38582;60001625;InternetCorporate;18/10/2019 15.42
New;AR/ACT/1909/33298;140001271;InternetCorporate;26/09/2019 17.04
New;AR/ACT/1909/33299;140001271;IIX;26/09/2019 17.04
Upgrade;AR/CHT/1911/6952;140001897;Metronet;08/11/2019 09.27
Upgrade;AR/CHT/1911/6953;140001897;Metronet;08/11/2019 09.30
Upgrade;AR/CHT/1911/6954;140001897;InternetCorporate;08/11/2019 09.31
New;AR/ACT/1910/37515;90000410;InternetBroadbandCorporate;14/10/2019 16.02
New;AR/ACT/1910/38773;160000259;Lain-lain;18/10/2019 18.27
New;AR/ACT/1910/38772;160000259;Lain-lain;18/10/2019 18.25
New;AR/ACT/1910/36169;ICON-00;ComnetzInfra;09/10/2019 10.18
Upgrade;AR/UPG/1908/2600;50000796;Metronet;14/08/2019 08.34
Upgrade;AR/UPG/1911/3337;150000048;InternetCorporate;05/11/2019 14.56
Upgrade;AR/UPG/1911/3325;60000942;IIX;01/11/2019 16.43
Upgrade;AR/UPG/1911/3326;60000942;InternetCorporate;01/11/2019 16.44
New;AR/ACT/1910/37511;110000179;InternetCorporate;14/10/2019 15.34
New;AR/ACT/1910/37512;110000179;InternetBroadbandCorporate;14/10/2019 15.34
Upgrade;AR/CHT/1911/7085;110000179;InternetCorporate;18/11/2019 18.03
Downgrade;AR/CHT/1911/7086;110000179;InternetBroadbandCorporate;18/11/2019 18.13
Downgrade;AR/DOW/1911/0481;40000348;IPVPN;08/11/2019 15.01
Downgrade;AR/DOW/1911/0482;40000348;IPVPN;08/11/2019 15.07
Downgrade;AR/DOW/1911/0483;40000348;IPVPN;08/11/2019 15.13
New;AR/ACT/1909/31370;90000440;PenambahanIPv4Publik;10/09/2019 15.52
New;AR/ACT/1909/31371;140001663;PenambahanIPv4Publik;10/09/2019 15.59
New;AR/ACT/1909/31373;90000454;PenambahanIPv4Publik;10/09/2019 16.01
New;AR/ACT/1909/31377;90000181;PenambahanIPv4Publik;10/09/2019 16.07
New;AR/ACT/1909/31378;90000443;PenambahanIPv4Publik;10/09/2019 16.08
New;AR/ACT/1909/31379;90000385;PenambahanIPv4Publik;10/09/2019 16.12
New;AR/ACT/1909/31380;90000436;PenambahanIPv4Publik;10/09/2019 16.14
New;AR/ACT/1909/31381;90000415;PenambahanIPv4Publik;10/09/2019 16.17
New;AR/ACT/1909/31382;90000216;PenambahanIPv4Publik;10/09/2019 16.20
New;AR/ACT/1909/31383;190000156;PenambahanIPv4Publik;10/09/2019 16.23
New;AR/ACT/1909/31384;90000402;PenambahanIPv4Publik;10/09/2019 16.25
New;AR/ACT/1909/31385;90000384;PenambahanIPv4Publik;10/09/2019 16.33
New;AR/ACT/1909/31386;90000414;i-WINOutdoor;10/09/2019 16.36
New;AR/ACT/1909/31388;90000413;i-WINOutdoor;10/09/2019 16.42
New;AR/ACT/1909/31389;90000422;i-WINOutdoor;10/09/2019 16.46
New;AR/ACT/1909/31391;90000410;i-WINOutdoor;10/09/2019 16.51
New;AR/ACT/1909/31393;90000364;i-WINOutdoor;10/09/2019 16.55
New;AR/ACT/1910/36168;90000470;ComnetzInfra;09/10/2019 10.10
New;AR/ACT/1909/31412;90000361;i-WINOutdoor;11/09/2019 08.52
New;AR/ACT/1909/31394;90000387;i-WINOutdoor;10/09/2019 17.06
New;AR/ACT/1909/31413;90000351;i-WINOutdoor;11/09/2019 08.54
New;AR/ACT/1909/31414;90000193;i-WINOutdoor;11/09/2019 08.55
New;AR/ACT/1909/33245;90000298;ComnetzInfra;26/09/2019 09.01
New;AR/ACT/1909/31426;990001059;i-WINOutdoor;11/09/2019 10.55
New;AR/ACT/1909/32097;90000403;i-WINOutdoor;16/09/2019 09.33
New;AR/ACT/1909/32098;90000373;i-WINOutdoor;16/09/2019 09.34
